auth_idps_number,ID or Passport Number,身份证或护照号,,,
auth_enter_number,Enter your ID number,输入证件号码,,,
common_next,Next,下一步,,,
auth_submit_tips,Submit a clear back and front photo of your ID card,请提交您的身份证正反面照片,,,
auth_front,Front,正面,,,
id_photo_back,Back,反面,,,
common_submit,Submit,提交,,,
auth_passport_tips,Submit a clear photo of your passport,请提交您的护照照片,,,
auth_reviewing,Your information is under review now…,您的信息正在审核当中…,,,
auth_with_idcard,Submit a picture of yourself holding your ID card,请提交一张本人手持身份证的照片,,,
info_reviewing,Reviewing…,审核中…,,,
error_timeout,"Request timeout, please check your network and try again",请求超时，请检查网络后重试,,,
error_133,Identity information is already associated with another account,身份信息已与另一账号绑定,,,
collect_tips,"Collect these assets means joining bank {{value}}, do you want to proceed? ",领取资产意味着加入币行{{value}}，要继续吗？,,,
ignore_tips,"Ignore means discard these assets forever, are you sure? ",忽略意味着永久丢弃这些资产，你确认吗？,,,
common_album,Album,相册,,,
uncollected_tips,"Your some uncollected 
assets",你有一些入账待确认接收,,,
uncollected_asset,Uncollected Assets,待接收资产,,,
total_uncollected,Total uncollected assets,总待接收资产数,,,
uncollected_from,Payments sent by:,"付款发送自：
",,,
common_ignore,Ignore,忽略,,,
pic_no_pr,There is no QR code on the picture,图片上没有二维码信息,,,
common_returned,Fund Returned,资金退回,,,
common_collect,Collect,领取,,,
collect_all_tips,Check your uncollected assets of each bank and collect them.,查看每个币行的待接收资产并进行接收,,,
add_coin_tips,Add the type of coin you want to use,添加您想用的币种,,,
add_coin_button, Add Coins,添加币种,,,
